comment_id,text_clean
UgyuxzyIGjJa-vaWQnN4AaABAg,fun fact view yesterday s quot india good dancer quot
Ugy1itPyfWUKAGaBn9N4AaABAg,cool br siddharth gupta like br b dhvani bhanushali comment
UgwbLxaPpx9z0zAtD5h4AaABAg,exam go watch freely
Ugx7GM_vMuk5kluwc1F4AaABAg,bring childhood
UgzpR3di5DzoWIFR8mt4AaABAg,kon kon es song ko suna ha aur pasad aya like
UgwO-PNw15Ec0iAX3kR4AaABAg,love song billion view thumbnail billion br lol editor
Ugy7tVBg1T1ritdq3294AaABAg,come listen dialogue quot exactly aaj mera breakup hogya quot
UgwYdJOFmgAPEQMLEyN4AaABAg,kon kon sun rha hai
UgwhH_D0NOtAbP0mtdh4AaABAg,kon kon yeh song quarantine ke samay mein dekh rahe hain like karo
UgzLYgJ_vlT5kbvz-614AaABAg,href lol moment br isney sacchi mey jannat chod diya
UgzSwOSFsZkNKJoID8R4AaABAg,terciduk gawe marjan br terciduk gawa pangan br terfoku arep mangan br ohh bahagiaa br ada satee cang ijo mal gawa ya monggooo br kismoto kaneka monotoo
Ugyn4VPuhDw9UQjT6up4AaABAg,indonesia br like india song
Ugx40obj3ljRP2Trecd4AaABAg,wait billion view br hit like
UgxfIrEgRjKCPfCxrTt4AaABAg,august
UgzYF0IjHzeifMEIGLt4AaABAg,kon dekh hai ha
UgzKcw0VXsOb3FkoCu94AaABAg,jay shere ram
UgzQ9mkfiAGkIwH2smt4AaABAg,like doctor nurse policeman etc br like favorite singer dvani badushaie
UgwJVAotgHS2FVe9VEV4AaABAg,buetifull song
Ugz9r4uEUQFaCsBDrml4AaABAg,s wait b view
UgzGOfjFq02tMK0NP0Z4AaABAg,vaste song beautiful hai ye sab ni chalta hai main khushi hun bol rahi hun aapka naam kya hai comment mein batao
UgzsuPTUrQ-DTWq-32J4AaABAg,hear october
UgyP868TQZBgC3EoLOd4AaABAg,like listen lock
Ugx5bny_5QZihmCHgbd4AaABAg,href record instead play
Ugw_xqzkEXZxXdV4-sx4AaABAg,lockdown era gt gt gt gt gt
UgwHNb3dztRnKnp9nLN4AaABAg,billion veiw million watch time
Ugyx-2VIIQgyVnJ44kd4AaABAg,come billion br br br br br br br br br br br br br human
UgwEuBAGfbniyOoerih4AaABAg,href yeh agar naach rhe hai toh gaana kon baja rha hai
UgxCBJiwkW7srBjqT494AaABAg,super song
UgzFlqZLL1X3gfZKjCN4AaABAg,fun fact br verify account compete spame comment
